,n_tokens,n_unique_tokens,proportion_unique_tokens,n_characters,n_sentences,token_length_mean,token_length_median,token_length_std,sentence_length_mean,sentence_length_median,sentence_length_std,dependency_distance_mean,dependency_distance_std,prop_adjacent_dependency_relation_mean,prop_adjacent_dependency_relation_std,type_token_ratio,dependency_depth_mean,dependency_depth_std,file_name,n_tokens_once_in_courpus,text_type,Number
10,915,320,0.34972677595628415,3842,54,3.955191256830601,3.0,2.2218888340201066,16.944444444444443,14.0,13.555669398429066,3.1381913982030483,1.810335901283925,0.33219134025259944,0.15394682911956722,0.34972677595628415,4.111111111111111,2.006163342807532,de_drie_spinsters,61,fairy tale,14
11,975,339,0.3476923076923077,4003,63,3.92,3.0,2.1931735582051544,15.476190476190476,14.0,9.792866115564413,2.979472993036214,1.107424473644866,0.37115969850250413,0.09499118047825215,0.3476923076923077,4.095238095238095,1.4222080498160075,de_drie_talen,62,fairy tale,10
12,858,428,0.4988344988344988,4705,56,5.362470862470863,4.0,3.2955206516878515,15.321428571428571,14.0,9.012109200675388,2.6677526766164767,1.1599452815422904,0.38900733134531024,0.12829750279941218,0.4988344988344988,4.375,1.6098192001410772,de_eerste_opiumoorlog,153,history,42
13,971,367,0.3779608650875386,4060,42,4.049433573635428,4.0,2.2204988232751495,23.11904761904762,20.0,14.517973066172612,3.6490923027925932,1.6583784669857302,0.3635766868769769,0.09413325946261424,0.3779608650875386,5.428571428571429,2.1618208500602223,de_engel,74,fairy tale,20
14,1029,403,0.391642371234208,4712,65,4.469387755102041,4.0,2.6810144349977656,15.830769230769231,16.0,8.295632272039269,2.862314967891037,1.1490549633657627,0.3443952236394899,0.1314005932381209,0.391642371234208,4.384615384615385,1.724861713006026,de_erfpachters,109,synopsis novelle,69
15,1099,443,0.4030937215650591,5640,51,5.030937215650591,4.0,3.427787234830703,21.54901960784314,22.0,11.920181807881491,3.1696101995090618,1.3647870959059722,0.346062126748076,0.12403333706800408,0.4030937215650591,4.980392156862745,1.985142816795744,de_geldmakers,130,synopsis financial thriller (book),68
16,982,378,0.384928716904277,4101,52,4.0285132382892055,3.0,2.2517704347835457,18.884615384615383,17.5,10.343436875165455,3.2919756573108936,1.2765426997021234,0.3546386620095806,0.09774693387951736,0.384928716904277,4.615384615384615,1.4564689406739606,de_geschenken_van_het_kleine_volkje,74,fairy tale,18
17,1169,458,0.3917878528656972,5463,93,4.58169375534645,4.0,2.894265627282647,12.56989247311828,12.0,5.3629510602334864,2.7080405491341164,0.742019010196339,0.38354825388682445,0.07770034256266427,0.3917878528656972,4.290322580645161,1.1965959349026714,de_ijsdragers,148,synopsis novelle,59
18,995,374,0.3758793969849246,4899,56,4.841206030150754,4.0,3.159242729815689,17.767857142857142,18.0,7.201168237139849,2.799511004454181,0.8631875774134601,0.37359392991313267,0.07953467058889056,0.3758793969849246,4.821428571428571,1.3901071754306116,de_kilimanjaro,139,technical text,57
19,879,308,0.3503981797497156,3711,43,4.065984072810012,3.0,2.353361047135853,20.441860465116278,15.0,19.509451884092982,3.0586567906787687,1.5188280820417233,0.37107655461517886,0.08326272469431295,0.3503981797497156,4.813953488372093,1.9199783665628183,de_mooiste_roos_van_de_wereld,77,fairy tale,23
20,867,266,0.30680507497116494,3379,40,3.6828143021914648,3.0,1.9384335740476086,21.675,21.0,14.123362736968842,3.395306494398608,1.3432573621276833,0.354406924045165,0.10678634540586493,0.30680507497116494,4.8,1.8867962264113207,de_oude_rinkrank,22,fairy tale,19
21,879,343,0.3902161547212742,3599,52,3.8350398179749714,3.0,2.12013500482577,16.903846153846153,13.0,10.726063898073802,3.1942410784042417,1.2216658940963419,0.37979087747439927,0.08608514190709067,0.3902161547212742,4.423076923076923,1.4590059029531275,de_oude_sultan,56,fairy tale,11
22,966,340,0.35196687370600416,3820,62,3.770186335403727,3.0,2.0749370432365075,15.580645161290322,14.0,10.294922624373212,3.017654391500417,1.3050698802063312,0.36964456946124175,0.12426700692065207,0.35196687370600416,4.290322580645161,1.3840927711564472,de_oude_vrouw_in_het_bos,43,fairy tale,16
23,874,335,0.38329519450800914,3904,37,4.332951945080092,4.0,2.5964486800749227,23.62162162162162,20.0,14.655229398467112,3.4746143202528326,1.36702913162761,0.35389651155859425,0.11355998785844164,0.38329519450800914,5.297297297297297,1.706345310017794,de_spiegel_van_matsuyama,73,fairy tale,2
24,858,370,0.43123543123543123,3772,41,4.178321678321678,4.0,2.3804068091768977,20.926829268292682,16.0,16.07814793954741,3.6087971823171436,1.5313866836784529,0.3530502740232907,0.11144937138491665,0.43123543123543123,4.780487804878049,1.9192502997957075,de_uil,91,fairy tale,17
25,970,409,0.4216494845360825,4292,40,4.3051546391752575,4.0,2.41722219094907,24.25,22.5,12.997595931555958,3.523306719285788,1.0221761936788039,0.37945575633533124,0.05735610904777727,0.4216494845360825,5.275,1.3962002005443204,de_waanzinnige_koning,104,fairy tale,22
26,939,360,0.38338658146964855,4169,50,4.268370607028754,3.0,2.550944323263977,18.78,20.5,12.549565729538214,3.0807761089589007,1.6578687162352035,0.3050166489546173,0.1346868872892182,0.38338658146964855,4.64,2.2517548712060114,de_witte_haas_van_inaba,72,fairy tale,3
27,931,352,0.37808807733619765,3878,50,4.012889366272825,4.0,2.227608556114534,18.62,16.0,12.59347450070869,3.2801474308140603,1.2987208391671374,0.36773263711290577,0.09728242868654724,0.37808807733619765,4.6,1.4966629547095767,de_zeven_raven,58,fairy tale,8
28,975,403,0.41333333333333333,4220,68,4.1405128205128205,4.0,2.2879281285981223,14.338235294117647,10.0,17.34223872355114,2.5037291671278687,1.4587091561643493,0.30570244926509055,0.15194945069867125,0.41333333333333333,3.7941176470588234,2.0332444626711017,de_zilveren_schaatsen,101,novel,47
29,919,395,0.42981501632208924,4025,67,4.189336235038085,4.0,2.3448727422781794,13.716417910447761,11.0,11.10977244974227,2.715013812128444,1.2707228784844882,0.37015328109671614,0.09076443415109405,0.42981501632208924,4.08955223880597,1.5330327301622493,dirk_trom,91,novel,49
30,1136,484,0.426056338028169,6083,68,5.159330985915493,4.0,3.589421210006244,16.705882352941178,16.0,11.427596658874686,2.6605328128009833,1.3748126609971205,0.3800076924690464,0.14936764576400655,0.426056338028169,4.573529411764706,2.137316737727528,erytropoëtine,191,technical text,29
31,1973,754,0.382159148504815,10724,102,5.3568170299037,4.0,3.889294233605099,19.34313725490196,18.0,13.705941961776741,2.825807154528071,1.3438043410949707,0.36780587581508445,0.1304899492374021,0.382159148504815,4.980392156862745,2.1096435539314142,gentrificatie,292,technical text,34
32,909,414,0.45544554455445546,4597,52,4.936193619361936,4.0,3.350828548002882,17.48076923076923,16.0,8.212304053663777,2.9508638099858633,0.9329981537047459,0.3870247030099595,0.08562474616070069,0.45544554455445546,4.75,1.39883193030141,geschiedenis_van_londen,164,history,45
33,1049,357,0.340324118207817,5665,63,5.264061010486177,4.0,3.6090997031660224,16.650793650793652,14.0,11.354544199275153,2.749664278908603,1.2934817349485712,0.36285259955341853,0.11641262615544191,0.340324118207817,4.349206349206349,1.9692777675264537,glaciaal_(tijdper,77,technical text,26
34,873,358,0.41008018327605955,3958,30,4.404352806414662,4.0,2.515533291899054,29.1,29.0,14.253303710602209,3.942148918474615,1.5252427254881817,0.3494920024656745,0.10327545436784523,0.41008018327605955,5.6,1.854723699099141,het_dooden_van_de_zeeslang,73,fairy tale,5
35,941,401,0.4261424017003188,5454,49,5.6726886291179595,5.0,4.037705930271542,19.20408163265306,20.0,10.277734189740887,2.72187419199319,1.0140903732469888,0.36557960466801653,0.11146120994458317,0.4261424017003188,5.3061224489795915,1.8205637345440175,het_immuunsysteem,149,technical text,56
36,986,352,0.35699797160243407,4153,65,4.063894523326572,3.0,2.453414775755821,15.169230769230769,15.0,9.013783002916625,2.9606329512170775,1.198884637819102,0.36123395325870467,0.10693612916612151,0.35699797160243407,4.276923076923077,1.564094157186318,het_meisje_met_de_zwavelstokjes,78,fairy tale,12
37,871,334,0.38346727898966704,3800,47,4.2353616532721015,3.0,2.6595474656883624,18.53191489361702,15.0,13.52987405994096,3.1739262082284734,1.2318671123481848,0.36317511737562086,0.08719785418128835,0.38346727898966704,4.574468085106383,1.6209359110417796,het_spaarvarken,69,fairy tale,21
38,960,349,0.36354166666666665,4202,57,4.175,4.0,2.6113933062639183,16.842105263157894,16.0,8.552807015744527,3.165654451680064,1.0198215913102995,0.3648767987743423,0.0819151029786033,0.36354166666666665,4.526315789473684,1.2298233100576763,het_winterkoninkje_en_de_beer,58,fairy tale,7
39,951,329,0.3459516298633018,3999,58,4.013669821240799,4.0,2.1696749218203886,16.396551724137932,15.0,10.368951756237786,3.117197959879915,1.2717660103237123,0.3877149053212884,0.10180745498029517,0.3459516298633018,4.448275862068965,1.3153262843283209,jorinde_en_joringel,51,fairy tale,15
40,878,349,0.39749430523917995,4053,43,4.439635535307517,4.0,2.7171732353833247,20.41860465116279,18.0,14.52701182183061,3.3155885971871997,1.693312303115697,0.33580178531497956,0.12904106884533556,0.39749430523917995,4.6976744186046515,2.0292613356626497,kadzutoyo_en_de_das,64,fairy tale,4
41,1167,372,0.31876606683804626,5998,83,5.012853470437018,4.0,3.3041750222257917,14.060240963855422,13.0,11.117498849328838,2.4824663395341395,1.3155046857509176,0.36505158470319593,0.136128361665767,0.31876606683804626,4.180722891566265,1.8829903051996775,kieming,107,technical text,36
42,1384,498,0.3598265895953757,7299,90,5.1531791907514455,4.0,3.4906487392847,15.377777777777778,14.0,9.488680715905401,2.6046146817658076,1.2714383212855755,0.3456567936782761,0.14211385600385731,0.3598265895953757,4.177777777777778,1.9297540302546206,klonen,149,technical text,28
43,882,351,0.3979591836734694,4005,35,4.40249433106576,4.0,2.7446328809748683,25.2,23.0,15.08035619132197,3.4411523854926807,1.3206684835690397,0.35924000403847184,0.10312650294432879,0.3979591836734694,5.314285714285714,2.213870928892631,leliane,109,fairy tale,48
44,871,339,0.38920780711825487,4130,55,4.61768082663605,4.0,2.8501994442006917,15.836363636363636,15.0,8.962068828454198,2.849832340605075,1.2217025265331847,0.36213372417424006,0.12541728061332064,0.38920780711825487,4.345454545454546,1.7499940968023218,liefde_in_tijden_van_cholera,79,synopsis novelle,67
45,878,308,0.35079726651480636,4485,51,5.037585421412301,4.0,3.652901564755341,17.215686274509803,18.0,10.570609876278581,2.68499753603056,1.3947035038458429,0.3724404156917358,0.12759122486501673,0.35079726651480636,4.745098039215686,2.0564879375885323,milankoviparameters,69,technical text,25
46,954,385,0.40356394129979034,5026,45,5.1582809224318655,4.0,3.4943949699766184,21.2,19.0,14.628131193772575,3.0108865592791023,1.0803788214424606,0.3452761742600141,0.10993474037128843,0.40356394129979034,5.044444444444444,1.9316723388533983,natuurlijke_selectie,100,technical text,24
47,1155,503,0.4354978354978355,6450,57,5.458008658008658,4.0,3.9010170080242834,20.263157894736842,20.0,12.787776943257489,2.848523242463661,1.3223431627070872,0.4120532391034756,0.12060100012569339,0.4354978354978355,4.859649122807017,1.8395136322411378,neoclassicisme,220,technical text,33
48,1021,479,0.4691478942213516,6090,40,5.804113614103819,5.0,4.216104417257614,25.525,23.0,15.965568420823608,3.6041930913519296,1.479681976027885,0.3766008478163694,0.09737281664056485,0.4691478942213516,5.575,1.8423829677892705,nomadisch_pastoralisme,212,technical text,30
49,911,364,0.3995609220636663,4172,51,4.433589462129528,4.0,2.7877204790328887,17.862745098039216,17.0,10.726583447884826,3.1176101603245527,1.3649453324712633,0.39177299229169105,0.08816711784660575,0.3995609220636663,4.647058823529412,1.5316725372107691,“mijn_heer_zak_met_rijs,76,fairy tale,1
